iter	Passed	Remaining
423	2089	2838
424	2095	2834
425	2101	2831
426	2108	2829
427	2114	2826
428	2120	2822
429	2126	2818
430	2132	2815
431	2138	2811
432	2143	2806
433	2148	2802
434	2154	2798
435	2160	2794
436	2165	2790
437	2172	2786
438	2177	2782
439	2182	2777
440	2188	2774
441	2194	2770
442	2200	2766
443	2206	2762
444	2212	2758
445	2217	2754
446	2223	2751
447	2229	2747
448	2234	2742
449	2240	2738
450	2245	2733
451	2250	2729
452	2256	2724
453	2261	2720
454	2267	2716
455	2273	2711
456	2278	2707
457	2284	2704
458	2290	2699
459	2296	2695
460	2302	2692
461	2308	2688
462	2313	2683
463	2320	2680
464	2325	2675
465	2331	2671
466	2336	2667
467	2342	2662
468	2347	2658
469	2353	2654
470	2359	2649
471	2365	2646
472	2371	2642
473	2377	2638
474	2383	2634
475	2388	2629
476	2394	2625
477	2400	2621
478	2405	2616
479	2411	2612
480	2418	2609
481	2423	2604
482	2429	2600
483	2435	2596
484	2440	2591
485	2445	2586
486	2450	2581
487	2455	2576
488	2460	2571
489	2466	2567
490	2472	2563
491	2478	2558
492	2483	2553
493	2488	2548
494	2493	2544
495	2499	2539
496	2504	2534
497	2509	2530
498	2516	2526
499	2522	2522
500	2528	2518
501	2533	2513
502	2538	2508
503	2543	2503
504	2548	2497
505	2552	2491
506	2556	2486
507	2561	2481
508	2566	2475
509	2570	2469
510	2575	2464
511	2580	2459
512	2584	2453
513	2589	2448
514	2594	2443
515	2598	2437
516	2603	2432
517	2608	2427
518	2614	2422
519	2618	2417
520	2623	2411
521	2628	2406
522	2632	2400
523	2636	2395
524	2641	2389
525	2645	2384
526	2649	2378
527	2654	2372
528	2659	2367
529	2663	2361
530	2667	2356
531	2672	2350
532	2676	2345
533	2680	2339
534	2685	2333
535	2690	2328
536	2694	2323
537	2699	2317
538	2704	2312
539	2708	2307
540	2712	2301
541	2718	2297
542	2724	2293
543	2729	2287
544	2732	2281
545	2737	2276
546	2742	2270
547	2746	2265
548	2751	2260
549	2756	2255
550	2760	2249
551	2765	2244
552	2769	2238
553	2774	2233
554	2778	2227
555	2782	2222
556	2787	2216
557	2792	2211
558	2796	2206
559	2800	2200
560	2805	2195
561	2810	2190
562	2815	2185
563	2821	2180
564	2825	2175
565	2829	2169
566	2834	2164
567	2839	2159
568	2843	2153
569	2847	2148
570	2852	2143
571	2857	2138
572	2861	2132
573	2866	2127
574	2871	2122
575	2875	2116
576	2879	2111
577	2884	2105
578	2888	2100
579	2893	2094
580	2897	2089
581	2903	2085
582	2908	2080
583	2913	2075
584	2919	2070
585	2924	2066
586	2929	2060
587	2934	2056
588	2938	2050
589	2943	2045
590	2948	2040
591	2953	2035
592	2958	2030
593	2963	2025
594	2968	2020
595	2973	2015
596	2978	2010
597	2984	2006
598	2988	2000
599	2993	1995
600	2998	1990
601	3002	1985
602	3007	1980
603	3012	1975
604	3017	1970
605	3022	1965
606	3028	1960
607	3033	1955
608	3037	1950
609	3041	1944
610	3046	1939
611	3050	1934
612	3055	1928
613	3059	1923
614	3064	1918
615	3068	1913
616	3073	1907
617	3077	1902
618	3082	1897
619	3086	1891
620	3090	1886
621	3095	1881
622	3100	1876
623	3104	1870
624	3108	1865
625	3114	1860
626	3118	1855
627	3123	1850
628	3128	1845
629	3134	1840
630	3138	1835
631	3143	1830
632	3148	1825
633	3152	1819
634	3156	1814
635	3161	1809
636	3165	1804
637	3170	1798
638	3173	1792
639	3178	1787
640	3182	1782
641	3186	1777
642	3191	1772
643	3196	1766
644	3200	1761
645	3204	1756
646	3210	1751
647	3214	1746
648	3218	1740
649	3224	1736
650	3229	1731
651	3234	1726
652	3238	1720
653	3243	1715
654	3247	1710
655	3252	1705
656	3257	1700
657	3261	1695
658	3265	1689
659	3270	1684
660	3275	1679
661	3279	1674
662	3284	1669
663	3289	1664
664	3293	1659
665	3297	1653
666	3302	1648
667	3307	1643
668	3311	1638
669	3316	1633
670	3321	1628
671	3326	1623
672	3331	1618
673	3340	1615
674	3346	1611
675	3350	1605
676	3355	1600
677	3359	1595
678	3364	1590
679	3368	1585
680	3373	1580
681	3376	1574
682	3380	1569
683	3385	1563
684	3389	1558
685	3394	1553
686	3398	1548
687	3402	1543
688	3407	1538
689	3411	1532
690	3416	1527
691	3422	1523
692	3427	1518
693	3431	1512
694	3436	1508
695	3440	1502
696	3445	1497
697	3449	1492
698	3455	1487
699	3459	1482
700	3463	1477
701	3468	1472
702	3473	1467
703	3477	1462
704	3481	1456
705	3487	1452
706	3492	1447
707	3496	1442
708	3502	1437
709	3506	1432
710	3511	1427
711	3515	1422
712	3520	1417
713	3525	1412
714	3529	1406
715	3534	1401
716	3538	1396
717	3543	1391
718	3548	1386
719	3552	1381
720	3557	1376
721	3561	1371
722	3565	1366
723	3570	1361
724	3575	1356
725	3579	1351
726	3584	1346
727	3589	1341
728	3593	1335
729	3599	1331
730	3604	1326
731	3607	1320
732	3613	1316
733	3619	1311
734	3623	1306
735	3629	1301
736	3634	1297
737	3640	1292
738	3643	1286
739	3648	1281
740	3653	1276
741	3658	1271
742	3663	1267
743	3668	1262
744	3672	1257
745	3677	1252
746	3681	1246
747	3685	1241
748	3689	1236
749	3693	1231
750	3696	1225
751	3699	1220
752	3703	1214
753	3706	1209
754	3711	1204
755	3714	1198
756	3717	1193
757	3720	1187
758	3724	1182
759	3729	1177
760	3733	1172
761	3736	1166
762	3739	1161
763	3743	1156
764	3746	1150
765	3749	1145
766	3753	1140
767	3756	1134
768	3760	1129
769	3763	1124
770	3766	1118
771	3770	1113
772	3773	1108
773	3777	1102
774	3780	1097
775	3784	1092
776	3787	1087
777	3792	1082
778	3795	1076
779	3799	1071
780	3803	1066
781	3807	1061
782	3811	1056
783	3814	1050
784	3817	1045
785	3821	1040
786	3825	1035
787	3828	1030
788	3831	1024
789	3834	1019
790	3838	1014
791	3841	1008
792	3844	1003
793	3848	998
794	3851	993
795	3855	988
796	3858	982
797	3861	977
798	3864	972
799	3868	967
800	3871	961
801	3875	956
802	3878	951
803	3881	946
804	3886	941
805	3891	936
806	3895	931
807	3900	926
808	3904	921
809	3910	917
810	3916	912
811	3922	908
812	3928	903
813	3932	898
814	3938	893
815	3942	889
816	3946	883
817	3950	878
818	3954	874
819	3959	869
820	3963	864
821	3966	858
822	3970	853
823	3973	848
824	3977	843
825	3982	838
826	3987	834
827	3991	829
828	3994	823
829	3997	818
830	4001	813
831	4006	808
832	4010	803
833	4013	798
834	4017	793
835	4021	788
836	4025	784
837	4030	779
838	4035	774
839	4039	769
840	4044	764
841	4048	759
842	4054	755
843	4058	750
844	4063	745
845	4066	740
846	4069	735
847	4074	730
848	4077	725
849	4080	720
850	4085	715
851	4088	710
852	4092	705
853	4097	700
854	4100	695
855	4105	690
856	4109	685
857	4112	680
858	4116	675
859	4119	670
860	4124	665
861	4127	660
862	4132	656
863	4136	651
864	4140	646
865	4143	641
866	4148	636
867	4156	632
868	4163	627
869	4172	623
870	4181	619
871	4187	614
872	4194	610
873	4200	605
874	4205	600
875	4212	596
876	4218	591
877	4222	586
878	4227	582
879	4232	577
880	4236	572
881	4241	567
882	4246	562
883	4249	557
884	4252	552
885	4256	547
886	4261	542
887	4264	537
888	4267	532
889	4270	527
890	4274	522
891	4278	517
892	4281	512
893	4283	507
894	4289	503
895	4293	498
896	4296	493
897	4299	488
898	4302	483
899	4306	478
900	4309	473
901	4312	468
902	4315	463
903	4319	458
904	4324	453
905	4328	449
906	4331	444
907	4334	439
908	4338	434
909	4341	429
910	4345	424
911	4350	419
912	4353	414
913	4357	409
914	4361	405
915	4366	400
916	4369	395
917	4373	390
918	4378	385
919	4382	381
920	4386	376
921	4390	371
922	4393	366
923	4398	361
924	4402	356
925	4407	352
926	4410	347
927	4413	342
928	4417	337
929	4422	332
930	4427	328
931	4430	323
932	4433	318
933	4439	313
934	4443	308
935	4446	304
936	4450	299
937	4453	294
938	4457	289
939	4461	284
940	4465	279
941	4469	275
942	4474	270
943	4476	265
944	4479	260
945	4483	255
946	4488	251
947	4491	246
948	4494	241
949	4497	236
950	4500	231
951	4505	227
952	4509	222
953	4512	217
954	4515	212
955	4521	208
956	4525	203
957	4529	198
958	4536	193
959	4539	189
960	4542	184
961	4545	179
962	4550	174
963	4553	170
964	4556	165
965	4559	160
966	4562	155
967	4566	150
968	4571	146
969	4574	141
970	4577	136
971	4581	131
972	4585	127
973	4589	122
974	4592	117
975	4597	113
976	4600	108
977	4605	103
978	4608	98
979	4611	94
980	4614	89
981	4617	84
982	4620	79
983	4624	75
984	4627	70
985	4630	65
986	4634	61
987	4637	56
988	4642	51
989	4645	46
990	4648	42
991	4653	37
992	4656	32
993	4659	28
994	4663	23
995	4666	18
996	4670	14
997	4674	9
998	4678	4
999	4682	0
