iter	Logloss
0	0.6268068123
1	0.5709448492
2	0.5199375086
3	0.4746827554
4	0.4384281855
5	0.4076984107
6	0.3782142476
7	0.3561488043
8	0.3371206338
9	0.3188806703
10	0.299104189
11	0.2847479514
12	0.2720081656
13	0.2608629406
14	0.2495103174
15	0.2382667041
16	0.2295812328
17	0.2194923801
18	0.2112882169
19	0.2039270929
20	0.1967614272
21	0.18952875
22	0.183514667
23	0.1775077466
24	0.1733956158
25	0.1691622235
26	0.1630235167
27	0.1578460651
28	0.1540334983
29	0.1513342512
30	0.148744868
31	0.141382478
32	0.1360420839
33	0.130319625
34	0.12670482
35	0.1216797761
36	0.1182672909
37	0.1156961793
38	0.1130667266
39	0.1111163938
40	0.1084911238
41	0.1063162992
42	0.1045525932
43	0.1021236282
44	0.1000050397
45	0.0985705546
46	0.09628541451
47	0.09435319698
48	0.09239528776
49	0.09122085049
50	0.08952779953
51	0.0877820256
52	0.08583821578
53	0.08466307191
54	0.08331381821
55	0.0816326775
56	0.08020688216
57	0.07914837739
58	0.07705649924
59	0.07572385456
60	0.07425445072
61	0.07345415715
62	0.07259731646
63	0.07176574745
64	0.07074994148
65	0.06950926209
66	0.06807460208
67	0.06708910196
68	0.06655967413
69	0.06504621668
70	0.06429699638
71	0.06378203046
72	0.06301546429
73	0.06239838402
74	0.0619410445
75	0.0615865061
76	0.06031724961
77	0.05929124223
78	0.05861448479
79	0.0576698439
80	0.05717499453
81	0.05615034486
82	0.05566367867
83	0.05451448101
84	0.05406108296
85	0.05362296151
86	0.05281570633
87	0.05223329698
88	0.05188122175
89	0.05138861211
90	0.05065794215
91	0.05034132799
92	0.04987505595
93	0.0490510233
94	0.04864515553
95	0.04837571467
96	0.04773696667
97	0.04730267284
98	0.04696603199
99	0.04652912376
100	0.04620891866
101	0.04539125385
102	0.04497568302
103	0.04448363449
104	0.04406303718
105	0.04370586963
106	0.04342857176
107	0.04322358278
108	0.04277787552
109	0.04230364822
110	0.0418039528
111	0.04129526967
112	0.04090439888
113	0.04058819299
114	0.04033140718
115	0.03986783949
116	0.03917336376
117	0.038711227
118	0.03830224894
119	0.03800057582
120	0.037482693
121	0.037096178
122	0.03674376164
123	0.03635477286
124	0.03609714885
125	0.0357638699
126	0.03552749406
127	0.03521493428
128	0.03498271105
129	0.03472581306
130	0.03454717173
131	0.03416726274
132	0.03387578964
133	0.03357732103
134	0.03340656885
135	0.03322834792
136	0.03299204374
137	0.03274597799
138	0.0325853859
139	0.03247766759
140	0.03219822952
141	0.03201343016
142	0.03169149257
143	0.03149662844
144	0.03130410479
145	0.03104852296
146	0.03091484287
147	0.0306845413
148	0.03050068956
149	0.03026765912
150	0.0300576858
